Quarter,Year,Subs,Company
Q1,2020,26.5,Disney
Q2,2020,33.5,Disney
Q3,2020,222.5,Disney
Q4,2020,73.7,Disney
Q1,2021,94.9,Disney
Q2,2021,103.6,Disney
Q3,2021,116,Disney
Q4,2021,118.1,Disney
Q1,2022,129.8,Disney
Q2,2022,137.7,Disney
Q3,2022,152.1,Disney
Q4,2022,164.2,Disney
Q1,2023,161.8,Disney
Q2,2023,157.8,Disney
