Adults who preferred to watch films in a theater or at home in the U.S. 2018-2022,,,
Percentage of adults who would rather watch movies in a theater or at home in the United States in 2018 and 2022,,,
,At home,In a theater,
2018,47,45,in %
2022,55,37,in %
